CA_0,CB_0,T_0_K,layer,problem,reference_index_within_layer,selection_seed,source_sample_index,x2_0,y1_0,y2_0,y3_0
,,,near_ood_0_10pct,vdp,0,20260815,0,,-0.006685990378675968,0.8809263919359936,0.0
,,,near_ood_0_10pct,vdp,1,20260815,2,,0.1008413463100822,0.9752367962136295,0.0
,,,near_ood_0_10pct,vdp,2,20260815,4,,-0.11143066896889416,0.9690013819495465,0.0
,,,near_ood_0_10pct,vdp,3,20260815,6,,-0.05043702990075595,0.8827352376689551,0.0
,,,near_ood_0_10pct,vdp,4,20260815,10,,0.062498803257195853,0.8892732371629957,0.0
,,,near_ood_0_10pct,vdp,5,20260815,17,,-0.09828673488071688,1.1127405541043898,0.0
,,,near_ood_0_10pct,vdp,6,20260815,19,,-0.013288682454728543,0.8969881834042551,0.0
,,,near_ood_0_10pct,vdp,7,20260815,21,,0.03232789588900646,0.8912729422926383,0.0
,,,near_ood_0_10pct,vdp,8,20260815,23,,-0.09281990344478294,0.8832180971928691,0.0
,,,near_ood_0_10pct,vdp,9,20260815,24,,0.07109748211746368,0.8994591638460059,0.0
,,,near_ood_0_10pct,vdp,10,20260815,25,,-0.10052694968497353,0.8962933444173541,0.0
,,,near_ood_0_10pct,vdp,11,20260815,26,,0.1059531636284813,0.9819053528614666,0.0
,,,near_ood_0_10pct,vdp,12,20260815,27,,0.004150007262765279,0.8901273750576821,0.0
,,,near_ood_0_10pct,vdp,13,20260815,30,,0.11726543958175704,0.9302387581264852,0.0
,,,near_ood_0_10pct,vdp,14,20260815,35,,-0.11367843582598727,0.9326235509651799,0.0
,,,near_ood_0_10pct,vdp,15,20260815,37,,0.054500403198051564,0.8992884081853575,0.0
,,,near_ood_0_10pct,vdp,16,20260815,39,,-0.10621383804328899,0.9682075784854673,0.0
,,,near_ood_0_10pct,vdp,17,20260815,40,,-0.05100789691781919,1.1096483726911817,0.0
,,,near_ood_0_10pct,vdp,18,20260815,41,,-0.10601026099270741,1.0338475913355263,0.0
,,,near_ood_0_10pct,vdp,19,20260815,44,,-0.08927360137212366,0.8879029653299656,0.0
,,,near_ood_0_10pct,vdp,20,20260815,46,,0.0866794272814642,0.8999322116063184,0.0
,,,near_ood_0_10pct,vdp,21,20260815,47,,0.09264473549186751,1.1000688438626265,0.0
,,,near_ood_0_10pct,vdp,22,20260815,48,,-0.08722857829093514,1.1182224906020848,0.0
,,,near_ood_0_10pct,vdp,23,20260815,52,,0.028140344511717028,1.1022967995297135,0.0
,,,near_ood_0_10pct,vdp,24,20260815,55,,0.1159702562674171,1.0165956148340107,0.0
,,,near_ood_0_10pct,vdp,25,20260815,56,,0.11714808333701733,0.9713666947917512,0.0
,,,near_ood_0_10pct,vdp,26,20260815,57,,0.07651738374398824,0.8922032662372988,0.0
,,,near_ood_0_10pct,vdp,27,20260815,58,,-0.02399969639816464,0.883677465603182,0.0
,,,near_ood_0_10pct,vdp,28,20260815,59,,0.0057640152529145755,0.8850768846946929,0.0
,,,near_ood_0_10pct,vdp,29,20260815,60,,0.1055722392995548,0.9260871385934863,0.0
,,,near_ood_0_10pct,vdp,30,20260815,61,,0.11241918496364488,0.9965985207561596,0.0
,,,near_ood_0_10pct,vdp,31,20260815,64,,-0.1051565611111599,0.9256358059419242,0.0
,,,near_ood_0_10pct,vdp,32,20260815,66,,-0.0789234796086054,1.1037447779501708,0.0
,,,near_ood_0_10pct,vdp,33,20260815,67,,-0.06163890764573848,1.1107161271663326,0.0
,,,near_ood_0_10pct,vdp,34,20260815,69,,-0.05699678422731044,1.1024322551673638,0.0
,,,near_ood_0_10pct,vdp,35,20260815,72,,-0.11303338680169317,0.9769185831421062,0.0
,,,near_ood_0_10pct,vdp,36,20260815,76,,-0.1066493568563975,1.0874775254294928,0.0
,,,near_ood_0_10pct,vdp,37,20260815,77,,-0.09495117174368808,0.8916914393097753,0.0
,,,near_ood_0_10pct,vdp,38,20260815,80,,0.01724700513868467,1.117507894180511,0.0
,,,near_ood_0_10pct,vdp,39,20260815,81,,-0.10404678840337375,1.10142553242139,0.0
,,,near_ood_0_10pct,vdp,40,20260815,83,,0.062268434561157396,1.101096885342929,0.0
,,,near_ood_0_10pct,vdp,41,20260815,84,,-0.11788578979743142,1.1050600497142486,0.0
,,,near_ood_0_10pct,vdp,42,20260815,86,,0.03312490251514656,0.8890576874005299,0.0
,,,near_ood_0_10pct,vdp,43,20260815,90,,-0.07502547856511443,0.8859771603559312,0.0
,,,near_ood_0_10pct,vdp,44,20260815,91,,-0.1005610924488372,0.9375746614693745,0.0
,,,near_ood_0_10pct,vdp,45,20260815,93,,0.06575439993777803,0.8815709191344676,0.0
,,,near_ood_0_10pct,vdp,46,20260815,94,,-0.10198811349263662,1.0696029588153038,0.0
,,,near_ood_0_10pct,vdp,47,20260815,96,,-0.1147033913160845,1.1154156541978115,0.0
,,,near_ood_0_10pct,vdp,48,20260815,97,,-0.1022932458408453,0.9257870566990939,0.0
,,,near_ood_0_10pct,vdp,49,20260815,99,,0.10861589557257346,0.9042501374177728,0.0
,,,far_ood_10_20pct,vdp,0,20260816,2,,-0.13965338333080235,1.0783741821561443,0.0
,,,far_ood_10_20pct,vdp,1,20260816,3,,-0.12986879890650696,1.1159202862456419,0.0
,,,far_ood_10_20pct,vdp,2,20260816,4,,0.09394455933359278,0.8636227783569481,0.0
,,,far_ood_10_20pct,vdp,3,20260816,6,,-0.13571255482758932,0.9483358135130722,0.0
,,,far_ood_10_20pct,vdp,4,20260816,7,,0.13510537019654179,1.0315049449061826,0.0
,,,far_ood_10_20pct,vdp,5,20260816,8,,-0.13333744512698853,0.893416152687301,0.0
