accepted,fallback,filter_seconds,hds_gmax,objective,corrected_segments,problem,point_id,seed,adaptive_model,inference_seconds,total_deployment_seconds,jiang_solve_seconds,jiang_objective,jiang_hds_gmax,relative_objective_difference
True,False,0.12114380000002711,-0.006539131390594366,2.642155350671772,1,VDP,vdp_001,20260751,S,5.501000000549538e-06,0.12114930100002766,1.1567825,2.6132222186508574,-6.076007611766077e-06,0.011071822294489745
True,False,0.09475479999946401,-0.0013422123733298208,2.7790989911582,0,VDP,vdp_002,20260751,S,5.501000000549538e-06,0.09476030099946456,0.5708834,2.77494909041869,-9.366152375345216e-06,0.001495487161850403
True,False,0.09715810000034253,-0.0022470759653546724,2.7314138110652917,0,VDP,vdp_003,20260751,S,5.501000000549538e-06,0.09716360100034308,0.3151195,2.723515775131864,-1.1204183794077949e-05,0.002899941320532778
True,False,0.10196080000059737,-0.003601597248729216,3.2665360858723824,1,VDP,vdp_004,20260751,S,5.501000000549538e-06,0.10196630100059792,0.3483737,3.2462107309900943,-1.0556649531590079e-05,0.006261255527329526
True,False,0.1196749999999156,-0.004723297641862856,3.1336957207686926,1,VDP,vdp_005,20260751,S,5.501000000549538e-06,0.11968050099991615,0.3154336,3.1106764543563723,-1.1631935164957419e-05,0.0074000837920905616
True,False,0.10399429999961285,-0.0018220527641971684,2.9611784143496434,1,VDP,vdp_006,20260751,S,5.501000000549538e-06,0.1039998009996134,0.1646896,2.9557960450383542,-1.3313977281215195e-05,0.0018209542300200426
True,False,0.12462330000016664,-0.004838665917984264,3.012661966040448,1,VDP,vdp_007,20260751,S,5.501000000549538e-06,0.12462880100016718,0.2523923,2.9805430068719123,-1.1561427565143223e-05,0.010776210608094776
True,False,0.09675150000020949,-6.16751785147418e-05,2.908151048770205,0,VDP,vdp_008,20260751,S,5.501000000549538e-06,0.09675700100021004,0.4854922,2.906312627317515,-8.062688990007061e-06,0.0006325614923218708
True,False,0.09425259999989066,-0.006369363980138876,2.621634886381737,0,VDP,vdp_009,20260751,S,5.501000000549538e-06,0.09425810099989121,0.4626844,2.6125412098882133,-7.292978178363718e-06,0.003480778201356291
True,False,0.1034962000003361,-0.001969352221724452,3.447053246276822,1,VDP,vdp_010,20260751,S,5.501000000549538e-06,0.10350170100033665,0.3261349,3.4399985476709642,-9.703415081052658e-06,0.002050785344265356
